QuestionNum,Question,AnswerUse,Curiosity,Satisfy,More,CurSD,SatSD,MoreSD,KnowNO,KnowTOT,KnowYES,Count,KnowNOprop,KnowYESprop,KnowTOTprop,CurSD_z,Length
3,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",Lolita by Vladimir Nabokov,62.74285714,51.48571429,45.94285714,32.62022366,32.23568668,30.26252085,29,4,3,37,0.783783784,0.081081081,0.108108108,0.040995949,78
5,"""March"" was a retelling of what famous literary work from a different character's point of view?",Little Women,48.1627907,51.46511628,28.88372093,34.88479696,31.8802438,28.93277043,40,1,4,45,0.888888889,0.088888889,0.022222222,0.843080125,96
9,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",The evacuation of Saigon,69.70212766,60.04255319,50.40425532,30.9086416,31.98162342,36.34117295,34,8,5,48,0.708333333,0.104166667,0.166666667,-0.56522549,103
17,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",Molasses,70.89130435,67.93478261,63.19565217,31.84841057,32.41083644,32.44456439,37,6,3,46,0.804347826,0.065217391,0.130434783,-0.232370811,95
18,About half of the population of what Pacific island has the surname Christian?,Pitcairn Island,63.43181818,42.38636364,46.75,31.349046,29.66417925,30.16321878,35,4,6,46,0.760869565,0.130434783,0.086956522,-0.409239638,78
19,"According to Chairman Mao, ""political power grows out of"" what?",The barrel of a gun,52.10869565,58.95652174,43.86956522,32.60281396,30.41049272,35.54315605,31,6,9,46,0.673913043,0.195652174,0.130434783,0.034829647,63
20,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",Eric the Red,56.90243902,54.68292683,44.63414634,35.10470401,31.67367916,32.21626615,29,6,6,42,0.69047619,0.142857143,0.142857143,0.920968516,95
21,"According to StarTrek.com, where was Captain Kirk born?","Riverside, Iowa",49.93877551,58.20408163,32.42857143,33.90022625,29.42644757,30.22002647,30,11,8,49,0.612244898,0.163265306,0.224489796,0.494357219,55
23,"According to the Guinness Book of Records, what was the loudest rock band ever?",KISS ,73.65116279,66.97674419,40.1627907,30.84668981,30.19893436,32.91614905,31,6,7,44,0.704545455,0.159090909,0.136363636,-0.587168057,79
24,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",Excalibur,54.58139535,63.46511628,42.55813953,31.66959828,31.03864629,32.31268535,32,5,6,43,0.744186047,0.139534884,0.11627907,-0.295703939,89
26,"After almost four hundred years of fruitless searching, what was finally navigated by Roald Amundsen in 1906?",The Northwest Passage,48.26190476,46.73809524,44.0952381,34.42635089,32.6168141,29.94776715,33,6,3,42,0.785714286,0.071428571,0.142857143,0.680704131,109
27,"After his death, who was hung upside down from an Esso filling station in Milan's Piazzale Loreto?",Benito Mussolini,44.53333333,58.53333333,50.26666667,33.78380462,31.54477337,33.79981173,32,4,9,45,0.711111111,0.2,0.088888889,0.453122099,98
28,"After humans, what's the worlds most abundant mammal species?",Mice,73.56521739,58.56521739,35.65217391,30.71492737,31.08315169,33.64733266,28,7,10,46,0.608695652,0.217391304,0.152173913,-0.633836704,61
30,"After the 1990 NFL draft, who found himself teammates with his Heisman Trophy successor, Andre Ware?",Barry Sanders,35,48.97222222,23.58333333,33.66218735,34.36566901,28.97720779,30,3,3,36,0.833333333,0.083333333,0.083333333,0.410046749,100
